اسم القاعه,المحافظه,المدينه,الهاتف,فيسبوك,انستجرام,الصور,,photo,اللوكيشن
كليوباترا الجمل,الاسكندريه,المنتزه,012 23697477,https://www.facebook.com/profile.php?id=1335835343248256&paipv=0&eav=AfaRdOx92sBG2XYSKNJ_gWBHH60ss2N2Sqm9Hjx14LMJKPpZms-__llow3jX-pH_c88&_rdr,,C:\Users\al arab\Desktop\Wedding halls\محافظة الاسكندريه\قسم المنتزه\كليوباترا الجمل,C:\Users\al%20arab\Desktop\Wedding%20halls\محافظة%20الاسكندريه\قسم%20المنتزه\كليوباترا%20الجمل,\محافظة%20الاسكندريه\قسم%20المنتزه\كليوباترا%20الجمل,https://www.google.com/maps?sca_esv=7bfb32b140944815&sca_upv=1&lqi=CkLZgtin2LnYp9iqINmC2LPZhSDYp9mE2YXZhtiq2LLZhyDZhdit2KfZgdi42Kkg2KfZhNin2LPZg9mG2K_YsdmK2YdI7_bDq-aAgIAIWk4QABgAGAIYAxgEIkLZgtin2LnYp9iqINmC2LPZhSDYp9mE2YXZhtiq2LLZhyDZhdit2KfZgdi42Kkg2KfZhNin2LPZg9mG2K_YsdmK2YeSAQ13ZWRkaW5nX3ZlbnVlqgF7EAEqDiIK2YLYp9i52KfYqig2Mh8QASIbxCbX0HyX3Icgv4lswIxomIdR-NJKkIHjW6JgMkYQAiJC2YLYp9i52KfYqiDZgtiz2YUg2KfZhNmF2YbYqtiy2Ycg2YXYrdin2YHYuNipINin2YTYp9iz2YPZhtiv2LHZitmH&phdesc=UiQRIz2gC7Y&vet=12ahUKEwjqluvc3N2IAxX1RaQEHX3RLjwQ8UF6BAgGEFM..i&lei=MtDzZuq1L_WLkdUP_aK74QM&cs=1&um=1&ie=UTF-8&fb=1&gl=eg&sa=X&geocode=Kf8OFAVj0PUUMUJksilvjT9l&daddr=%D8%A7%D9%84%D8%B9%D9%85%D8%B1%D8%A7%D9%88%D9%8A%D8%8C+Qesm+Al+Montazah%D8%8C+%D9%85%D8%AD%D8%A7%D9%81%D8%B8%D8%A9+%D8%A7%D9%84%D8%A5%D8%B3%D9%83%D9%86%D8%AF%D8%B1%D9%8A%D8%A9+5525020
قاعه داندى,الاسكندريه,المنتزه,012 82889079,https://www.facebook.com/Dandy.Halls/?paipv=0&eav=AfZAjN1iFbTv9WjN_gMlx_X_wnIl5mpGQgeShNF_8gnIGMkLrT38oOca7Nudi8fMrnQ&_rdr,,C:\Users\al arab\Desktop\Wedding halls\محافظة الاسكندريه\قسم المنتزه\قاعة دنداي,C:\Users\al%20arab\Desktop\Wedding%20halls\محافظة%20الاسكندريه\قسم%20المنتزه\قاعة%20دنداي,\محافظة%20الاسكندريه\قسم%20المنتزه\قاعة%20دنداي,"https://www.google.com/maps/dir//%D8%B4%D8%A7%D8%B1%D8%B9+%D8%A7%D9%84%D9%82%D8%A7%D8%B3%D9%85%D8%8C+%D8%A7%D9%84%D8%B3%D9%8A%D9%88%D9%81+%D9%82%D8%A8%D9%84%D9%8A+(%D8%AA%D8%B4%D9%85%D9%84+%D8%B9%D8%B2%D8%A8%D8%A9+%D8%AF%D8%B1%D8%A8%D8%A7%C3%99%D8%8C+%D9%82%D8%B3%D9%85+%D8%AB%D8%A7%D9%86+%D8%A7%D9%84%D9%85%D9%86%D8%AA%D8%B2%D8%A9%D8%8C+%D9%85%D8%AD%D8%A7%D9%81%D8%B8%D8%A9+%D8%A7%D9%84%D8%A5%D8%B3%D9%83%D9%86%D8%AF%D8%B1%D9%8A%D8%A9+5515364%E2%80%AD/@31.247606,30.0706352,12z/data=!4m8!4m7!1m0!1m5!1m1!1s0x14f5dbc1a177f3c7:0xdb9830136c55259e!2m2!1d30.000595!2d31.247625?entry=ttu&g_ep=EgoyMDI0MDkyMi4wIKXMDSoASAFQAw%3D%3D"
قاعه سنيوريتا,الاسكندريه,المنتزه,012 86246912,https://www.facebook.com/p/Seniorita-Hall-%D9%82%D8%A7%D8%B9%D8%A9-%D8%B3%D9%86%D9%8A%D9%88%D8%B1%D9%8A%D8%AA%D8%A7-100068215514902/?locale=ar_AR,,C:\Users\al arab\Desktop\Wedding halls\محافظة الاسكندريه\قسم المنتزه\قاعه سنيوريتا,C:\Users\al%20arab\Desktop\Wedding%20halls\محافظة%20الاسكندريه\قسم%20المنتزه\قاعه%20سنيوريتا,\محافظة%20الاسكندريه\قسم%20المنتزه\قاعه%20سنيوريتا,https://www.google.com/maps?sca_esv=7bfb32b140944815&sca_upv=1&lqi=CkLZgtin2LnYp9iqINmC2LPZhSDYp9mE2YXZhtiq2LLZhyDZhdit2KfZgdi42Kkg2KfZhNin2LPZg9mG2K_YsdmK2YdIrpPy0YargIAIWk4QABgAGAIYAxgEIkLZgtin2LnYp9iqINmC2LPZhSDYp9mE2YXZhtiq2LLZhyDZhdit2KfZgdi42Kkg2KfZhNin2LPZg9mG2K_YsdmK2YeSAQ13ZWRkaW5nX3ZlbnVlqgF7EAEqDiIK2YLYp9i52KfYqig2Mh8QASIbxCbX0HyX3Icgv4lswIxomIdR-NJKkIHjW6JgMkYQAiJC2YLYp9i52KfYqiDZgtiz2YUg2KfZhNmF2YbYqtiy2Ycg2YXYrdin2YHYuNipINin2YTYp9iz2YPZhtiv2LHZitmH&phdesc=WUKfo8Q0BPQ&vet=12ahUKEwjqluvc3N2IAxX1RaQEHX3RLjwQ8UF6BAgGEFM..i&lei=MtDzZuq1L_WLkdUP_aK74QM&cs=1&um=1&ie=UTF-8&fb=1&gl=eg&sa=X&geocode=KatgmCfr2vUUMaEoxacYeQdz&daddr=62X2%2B236%D8%8C+%D8%B4%D8%A7%D8%B1%D8%B9+%D8%A7%D9%84%D9%82%D8%A7%D8%B3%D9%85%D8%8C+%D8%A7%D9%84%D8%B3%D9%8A%D9%88%D9%81+%D9%82%D8%A8%D9%84%D9%8A+(%D8%AA%D8%B4%D9%85%D9%84+%D8%B9%D8%B2%D8%A8%D8%A9+%D8%AF%D8%B1%D8%A8%D8%A7%C3%99%D8%8C+%D8%AB%D8%A7%D9%84%D8%AB+%D8%A7%D9%84%D9%85%D9%86%D8%AA%D8%B2%D9%87%D8%8C+%D9%85%D8%AD%D8%A7%D9%81%D8%B8%D8%A9+%D8%A7%D9%84%D8%A5%D8%B3%D9%83%D9%86%D8%AF%D8%B1%D9%8A%D8%A9+5515364
قاعة داماس Damas Hall,الاسكندريه,المنتزه,010 70949177,https://www.facebook.com/p/%D9%82%D8%A7%D8%B9%D8%A9-%D8%AF%D8%A7%D9%85%D8%A7%D8%B3-Damas-Hall-100094298893606/,,C:\Users\al arab\Desktop\Wedding halls\محافظة الاسكندريه\قسم المنتزه\قاعة داماس Damas Hall,C:\Users\al%20arab\Desktop\Wedding%20halls\محافظة%20الاسكندريه\قسم%20المنتزه\قاعة%20داماس%20Damas%20Hall,\محافظة%20الاسكندريه\قسم%20المنتزه\قاعة%20داماس%20Damas%20Hall,https://www.google.com/maps?sca_esv=7bfb32b140944815&sca_upv=1&lqi=CkLZgtin2LnYp9iqINmC2LPZhSDYp9mE2YXZhtiq2LLZhyDZhdit2KfZgdi42Kkg2KfZhNin2LPZg9mG2K_YsdmK2YdI58zcl4W6gIAIWk4QABgAGAIYAxgEIkLZgtin2LnYp9iqINmC2LPZhSDYp9mE2YXZhtiq2LLZhyDZhdit2KfZgdi42Kkg2KfZhNin2LPZg9mG2K_YsdmK2YeSAQ13ZWRkaW5nX3ZlbnVlqgF7EAEqDiIK2YLYp9i52KfYqig2Mh8QASIbxCbX0HyX3Icgv4lswIxomIdR-NJKkIHjW6JgMkYQAiJC2YLYp9i52KfYqiDZgtiz2YUg2KfZhNmF2YbYqtiy2Ycg2YXYrdin2YHYuNipINin2YTYp9iz2YPZhtiv2LHZitmH&phdesc=tAf5qL1jHmg&vet=12ahUKEwjqluvc3N2IAxX1RaQEHX3RLjwQ8UF6BAgGEFM..i&lei=MtDzZuq1L_WLkdUP_aK74QM&cs=1&um=1&ie=UTF-8&fb=1&gl=eg&sa=X&geocode=KVsx6Zzg2_UUMctaF1PBvT2J&daddr=%D9%85%D8%B9%D8%B1%D8%B6+%D8%A7%D9%84%D8%A3%D8%B3%D9%83%D9%86%D8%AF%D8%B1%D9%8A%D8%A9+%D8%A7%D9%84%D8%AF%D9%88%D9%84%D9%8A+-+%D8%A7%D9%84%D8%B4%D8%A7%D8%B1%D8%B9+%D8%A7%D9%84%D8%AE%D9%84%D9%81%D9%8A+-+%D9%85%D9%8A%D8%AF%D8%A7%D9%86+%D8%AA%D9%88%D8%B1%D9%8A%D9%84%D8%8C+%D9%85%D9%8A%D8%AF%D8%A7%D9%86%D8%8C+%D8%A7%D9%84%D8%B3%D9%8A%D9%88%D9%81+%D9%82%D8%A8%D9%84%D9%8A+(%D8%AA%D8%B4%D9%85%D9%84+%D8%B9%D8%B2%D8%A8%D8%A9+%D8%AF%D8%B1%D8%A8%D8%A7%C3%99%D8%8C+%D8%AB%D8%A7%D9%84%D8%AB+%D8%A7%D9%84%D9%85%D9%86%D8%AA%D8%B2%D9%87%D8%8C+%D9%85%D8%AD%D8%A7%D9%81%D8%B8%D8%A9+%D8%A7%D9%84%D8%A5%D8%B3%D9%83%D9%86%D8%AF%D8%B1%D9%8A%D8%A9+5515362
Grand Roustique Festival Hall,الاسكندريه,المنتزه,012 22242082,https://www.facebook.com/p/Rustique-%D9%82%D8%A7%D8%B9%D8%A9-%D8%AD%D9%81%D9%84%D8%A7%D8%AA-100063634183596/,,C:\Users\al arab\Desktop\Wedding halls\محافظة الاسكندريه\قسم المنتزه\Grand Roustique Festival Hall,C:\Users\al%20arab\Desktop\Wedding%20halls\محافظة%20الاسكندريه\قسم%20المنتزه\Grand%20Roustique%20Festival%20Hall,\محافظة%20الاسكندريه\قسم%20المنتزه\Grand%20Roustique%20Festival%20Hall,"https://www.google.com/maps/dir//723C%2B6CV%D8%8C+%D8%A7%D9%84%D8%B3%D9%8A%D9%88%D9%81+%D9%82%D8%A8%D9%84%D9%8A+(%D8%AA%D8%B4%D9%85%D9%84+%D8%B9%D8%B2%D8%A8%D8%A9+%D8%AF%D8%B1%D8%A8%D8%A7%C3%99%D8%8C+%D9%82%D8%B3%D9%85+%D8%AB%D8%A7%D9%86+%D8%A7%D9%84%D9%85%D9%86%D8%AA%D8%B2%D8%A9%D8%8C+%D9%85%D8%AD%D8%A7%D9%81%D8%B8%D8%A9+%D8%A7%D9%84%D8%A5%D8%B3%D9%83%D9%86%D8%AF%D8%B1%D9%8A%D8%A9+5522011%E2%80%AD/@31.2531003,30.0910994,12z/data=!4m8!4m7!1m0!1m5!1m1!1s0x14f5da62ae2229e3:0xee1a6b9445601830!2m2!1d30.0210567!2d31.2531177?entry=ttu&g_ep=EgoyMDI0MDkyMi4wIKXMDSoASAFQAw%3D%3D"
قاعه سواريه,الاسكندريه,المنتزه,015 55235844,https://www.facebook.com/swarestars/?locale=ar_AR,https://www.instagram.com/grand_soiree/,C:\Users\al arab\Desktop\Wedding halls\محافظة الاسكندريه\قسم المنتزه\قاعه سواريه,C:\Users\al%20arab\Desktop\Wedding%20halls\محافظة%20الاسكندريه\قسم%20المنتزه\قاعه%20سواريه,\محافظة%20الاسكندريه\قسم%20المنتزه\قاعه%20سواريه,https://www.google.com/maps?sca_esv=7bfb32b140944815&sca_upv=1&lqi=CkLZgtin2LnYp9iqINmC2LPZhSDYp9mE2YXZhtiq2LLZhyDZhdit2KfZgdi42Kkg2KfZhNin2LPZg9mG2K_YsdmK2YdInIiZwZK6gIAIWlAQABgAGAEYAhgDGAQiQtmC2KfYudin2Kog2YLYs9mFINin2YTZhdmG2KrYstmHINmF2K3Yp9mB2LjYqSDYp9mE2KfYs9mD2YbYr9ix2YrZh5IBDGJhbnF1ZXRfaGFsbKoBexABKg4iCtmC2KfYudin2KooNjIfEAEiG8Qm19B8l9yHIL-JbMCMaJiHUfjSSpCB41uiYDJGEAIiQtmC2KfYudin2Kog2YLYs9mFINin2YTZhdmG2KrYstmHINmF2K3Yp9mB2LjYqSDYp9mE2KfYs9mD2YbYr9ix2YrZhw&phdesc=iUk5cOiQWd8&vet=12ahUKEwjqluvc3N2IAxX1RaQEHX3RLjwQ8UF6BAgGEFM..i&lei=MtDzZuq1L_WLkdUP_aK74QM&cs=1&um=1&ie=UTF-8&fb=1&gl=eg&sa=X&geocode=KXGIQKQ-0fUUMWSTe1TiggJs&daddr=72CF%2BG32+%D8%A5%D9%85%D8%A7%D9%85+%D9%83%D9%84%D9%8A%D9%87+%D8%A7%D9%84%D8%AF%D8%B1%D8%A7%D8%B3%D8%A7%D8%AA+%D8%A7%D9%84%D8%A7%D8%B3%D9%84%D8%A7%D9%85%D9%8A%D9%87%D8%8C+%D8%A7%D9%84%D9%85%D9%86%D8%AF%D8%B1%D8%A9+%D9%82%D8%A8%D9%84%D9%8A%D8%8C+%D9%82%D8%B3%D9%85+%D8%AB%D8%A7%D9%86+%D8%A7%D9%84%D9%85%D9%86%D8%AA%D8%B2%D8%A9%D8%8C+%D9%85%D8%AD%D8%A7%D9%81%D8%B8%D8%A9+%D8%A7%D9%84%D8%A5%D8%B3%D9%83%D9%86%D8%AF%D8%B1%D9%8A%D8%A9+5524365
قاعة اللوتس,الاسكندريه,المنتزه,010 14764144,https://www.facebook.com/Lotus.Hall.Alex/,https://www.instagram.com/lotusballrooms/p/C943O-2tKzS/?locale=en_AE%2B2&hl=en,C:\Users\al arab\Desktop\Wedding halls\محافظة الاسكندريه\قسم المنتزه\قاعة اللوتس,C:\Users\al%20arab\Desktop\Wedding%20halls\محافظة%20الاسكندريه\قسم%20المنتزه\قاعة%20اللوتس,\محافظة%20الاسكندريه\قسم%20المنتزه\قاعة%20اللوتس,"https://www.google.com/maps/dir//21121+%D8%A7%D9%85%D8%A7%D9%85%D8%8C+%D9%83%D8%A7%D9%81%D8%AA%D8%B1%D9%8A%D8%A7+%D8%A7%D8%A8%D9%88+%D8%B1%D8%A7%D9%85%D9%8A%D8%8C+392+%D8%B4%D8%A7%D8%B1%D8%B9+%D8%AE%D8%A7%D9%84%D8%AF+%D8%A8%D9%86+%D8%A7%D9%84%D9%88%D9%84%D9%8A%D8%AF%D8%8C+%D8%B3%D9%8A%D8%AF%D9%8A+%D8%A8%D8%B4%D8%B1+%D8%A8%D8%AD%D8%B1%D9%8A%D8%8C+%D8%A7%D9%88%D9%84+%D8%A7%D9%84%D9%85%D9%86%D8%AA%D8%B2%D9%87%E2%80%AD/@31.2680998,30.060466,12z/data=!4m8!4m7!1m0!1m5!1m1!1s0x14f5d1a1f823a961:0x70459ff576810e12!2m2!1d29.9904258!2d31.2681188?entry=ttu&g_ep=EgoyMDI0MDkyMi4wIKXMDSoASAFQAw%3D%3D"
قاعة سونستا,الاسكندريه,المنتزه,010 32546326,https://www.facebook.com/p/Sonesta-Hall-_-%D9%82%D8%A7%D8%B9%D8%A9-%D8%B3%D9%88%D9%86%D8%B3%D8%AA%D8%A7-100071930528422/?paipv=0&eav=AfZOLKAdn5T1m_qSVEuZZHuT9u-btu1THUGiohqmLNVVKV8KpjuoeyVFctaDSv3xwQc&_rdr,,C:\Users\al arab\Desktop\Wedding halls\محافظة الاسكندريه\قسم المنتزه\قاعة سونستا,C:\Users\al%20arab\Desktop\Wedding%20halls\محافظة%20الاسكندريه\قسم%20المنتزه\قاعة%20سونستا,\محافظة%20الاسكندريه\قسم%20المنتزه\قاعة%20سونستا,CkLZgtin2LnYp9iqINmC2LPZhSDYp9mE2YXZhtiq2LLZhyDZhdit2KfZgdi42Kkg2KfZhNin2LPZg9mG2K_YsdmK2YdI5O248IqrgIAIWk4QABgAGAIYAxgEIkLZgtin2LnYp9iqINmC2LPZhSDYp9mE2YXZhtiq2LLZhyDZhdit2KfZgdi42Kkg2KfZhNin2LPZg9mG2K_YsdmK2YeSAQ13ZWRkaW5nX3ZlbnVlqgF7EAEqDiIK2YLYp9i52KfYqig2Mh8QASIbxCbX0HyX3Icgv4lswIxomIdR
قاعة لازوردي,الاسكندريه,المنتزه,010 67270948,https://www.facebook.com/lazordyhalls/,,C:\Users\al arab\Desktop\Wedding halls\محافظة الاسكندريه\قسم المنتزه\قاعة لازوردي,C:\Users\al%20arab\Desktop\Wedding%20halls\محافظة%20الاسكندريه\قسم%20المنتزه\قاعة%20لازوردي,\محافظة%20الاسكندريه\قسم%20المنتزه\قاعة%20لازوردي,"https://www.google.com/maps/dir//%D8%A7%D9%84%D9%86%D8%AE%D9%8A%D9%84%D8%8C+%D8%A7%D9%84%D8%B3%D9%8A%D9%88%D9%81+%D9%82%D8%A8%D9%84%D9%8A+(%D8%AA%D8%B4%D9%85%D9%84+%D8%B9%D8%B2%D8%A8%D8%A9+%D8%AF%D8%B1%D8%A8%D8%A7%C3%99%D8%8C+%D8%AB%D8%A7%D9%84%D8%AB+%D8%A7%D9%84%D9%85%D9%86%D8%AA%D8%B2%D9%87%D8%8C+%D9%85%D8%AD%D8%A7%D9%81%D8%B8%D8%A9+%D8%A7%D9%84%D8%A5%D8%B3%D9%83%D9%86%D8%AF%D8%B1%D9%8A%D8%A9+5515132%E2%80%AD/@31.2446183,30.068407,12z/data=!4m8!4m7!1m0!1m5!1m1!1s0x14f5dbd839fb81dd:0xabfb0bf0b77d974b!2m2!1d29.9985262!2d31.244646?entry=ttu&g_ep=EgoyMDI0MDkyMi4wIKXMDSoASAFQAw%3D%3D"
قاعة مارسيليا جاردن,الاسكندريه,المنتزه,+1 202611224,https://www.facebook.com/Marsilia.Garden1/,https://www.instagram.com/explore/locations/112360471495647/,C:\Users\al arab\Desktop\Wedding halls\محافظة الاسكندريه\قسم المنتزه\قاعة مارسيليا جاردن,C:\Users\al%20arab\Desktop\Wedding%20halls\محافظة%20الاسكندريه\قسم%20المنتزه\قاعة%20مارسيليا%20جاردن,\محافظة%20الاسكندريه\قسم%20المنتزه\قاعة%20مارسيليا%20جاردن,"https://www.google.com/maps/dir//%D9%A4%D9%A5+%D8%A7%D9%84%D8%B7%D8%B1%D9%8A%D9%82+%D8%A7%D9%84%D8%AF%D9%88%D9%84%D9%89+%D8%A7%D9%84%D8%B3%D8%A7%D8%AD%D9%84%D9%8A%D8%8C,+%D8%A7%D9%84%D8%B3%D9%8A%D9%88%D9%81+%D9%82%D8%A8%D9%84%D9%8A+(%D8%AA%D8%B4%D9%85%D9%84+%D8%B9%D8%B2%D8%A8%D8%A9+%D8%AF%D8%B1%D8%A8%D8%A7%C3%99%D8%8C+%D9%82%D8%B3%D9%85+%D8%AB%D8%A7%D9%86+%D8%A7%D9%84%D9%85%D9%86%D8%AA%D8%B2%D8%A9%E2%80%AD/@31.250435,30.0919692,12z/data=!4m8!4m7!1m0!1m5!1m1!1s0x14f5db994575777d:0x9da334ed0f4a2849!2m2!1d30.021929!2d31.250454?entry=ttu&g_ep=EgoyMDI0MDkyMi4wIKXMDSoASAFQAw%3D%3D"
"قصر دهب للحفلات
",الاسكندريه,المنتزه, 012 88198841,https://www.facebook.com/p/%D9%82%D8%B5%D8%B1-%D8%AF%D9%87%D8%A8-Dahab-Palace-100071428170510/?locale=ar_AR,https://www.instagram.com/explore/locations/110756834546847/-dahab-palace/?locale=sl,C:\Users\al arab\Desktop\Wedding halls\محافظة الاسكندريه\قسم المنتزه\قصر دهب للحفلات,C:\Users\al%20arab\Desktop\Wedding%20halls\محافظة%20الاسكندريه\قسم%20المنتزه\قصر%20دهب%20للحفلات,\محافظة%20الاسكندريه\قسم%20المنتزه\قصر%20دهب%20للحفلات,"https://www.google.com/maps/dir//%D8%A7%D9%88%D9%84+%D8%B4%D8%A7%D8%B1%D8%B9+%D8%A7%D9%84%D9%85%D8%B1%D8%A7%D8%BA%D9%8A%D8%8C+%D8%A7%D9%84%D8%B9%D9%85%D9%88%D9%85%D9%8A%D8%8C+%D8%AB%D8%A7%D9%84%D8%AB+%D8%A7%D9%84%D9%85%D9%86%D8%AA%D8%B2%D9%87%D8%8C+%D9%85%D8%AD%D8%A7%D9%81%D8%B8%D8%A9+%D8%A7%D9%84%D8%A5%D8%B3%D9%83%D9%86%D8%AF%D8%B1%D9%8A%D8%A9+5510502%E2%80%AD/@31.2076192,30.0900634,12z/data=!4m8!4m7!1m0!1m5!1m1!1s0x14f5db1829f34347:0x5fb8e5808543cac0!2m2!1d30.0200266!2d31.2076366?entry=ttu&g_ep=EgoyMDI0MDkyMi4wIKXMDSoASAFQAw%3D%3D"
قاعه داماس,الاسكندريه,المنتزه,010 01704885,https://www.facebook.com/p/%D9%82%D8%A7%D8%B9%D8%A9-%D8%AF%D8%A7%D9%85%D8%A7%D8%B3-Damas-Hall-100094298893606/,,C:\Users\al arab\Desktop\Wedding halls\محافظة الاسكندريه\قسم المنتزه\قاعه داماس,C:\Users\al%20arab\Desktop\Wedding%20halls\محافظة%20الاسكندريه\قسم%20المنتزه\قاعه%20داماس,\محافظة%20الاسكندريه\قسم%20المنتزه\قاعه%20داماس,https://www.google.com/maps?sca_esv=7bfb32b140944815&sca_upv=1&lqi=CkLZgtin2LnYp9iqINmC2LPZhSDYp9mE2YXZhtiq2LLZhyDZhdit2KfZgdi42Kkg2KfZhNin2LPZg9mG2K_YsdmK2YdI9cC89dexgIAIWlAQABgAGAEYAhgDGAQiQtmC2KfYudin2Kog2YLYs9mFINin2YTZhdmG2KrYstmHINmF2K3Yp9mB2LjYqSDYp9mE2KfYs9mD2YbYr9ix2YrZh5IBDGJhbnF1ZXRfaGFsbKoBexABKg4iCtmC2KfYudin2KooNjIfEAEiG8Qm19B8l9yHIL-JbMCMaJiHUfjSSpCB41uiYDJGEAIiQtmC2KfYudin2Kog2YLYs9mFINin2YTZhdmG2KrYstmHINmF2K3Yp9mB2LjYqSDYp9mE2KfYs9mD2YbYr9ix2YrZhw&vet=12ahUKEwjqluvc3N2IAxX1RaQEHX3RLjwQ8UF6BAgGEFM..i&lei=MtDzZuq1L_WLkdUP_aK74QM&cs=1&um=1&ie=UTF-8&fb=1&gl=eg&sa=X&geocode=KZHEY1Zb2_UUMcvv1tqz9N-w&daddr=62W2%2B55G%D8%8C+%D9%85%D8%B3%D8%AC%D8%AF+%D8%A7%D9%84%D8%B3%D9%84%D8%A7%D9%85%D8%8C+%D8%A7%D9%84%D8%B3%D9%8A%D9%88%D9%81+%D9%82%D8%A8%D9%84%D9%8A+(%D8%AA%D8%B4%D9%85%D9%84+%D8%B9%D8%B2%D8%A8%D8%A9+%D8%AF%D8%B1%D8%A8%D8%A7%C3%99%D8%8C+%D9%82%D8%B3%D9%85+%D8%AB%D8%A7%D9%86+%D8%A7%D9%84%D9%85%D9%86%D8%AA%D8%B2%D8%A9%D8%8C+%D9%85%D8%AD%D8%A7%D9%81%D8%B8%D8%A9+%D8%A7%D9%84%D8%A5%D8%B3%D9%83%D9%86%D8%AF%D8%B1%D9%8A%D8%A9+5515360
قاعه كريستال جاردن للحفلات,الاسكندريه,المنتزه,012 71804709,https://www.facebook.com/CrystalGarden01,,C:\Users\al arab\Desktop\Wedding halls\محافظة الاسكندريه\قسم المنتزه\قاعه كريستال جاردن للحفلات,C:\Users\al%20arab\Desktop\Wedding%20halls\محافظة%20الاسكندريه\قسم%20المنتزه\قاعه%20كريستال%20جاردن%20للحفلات,\محافظة%20الاسكندريه\قسم%20المنتزه\قاعه%20كريستال%20جاردن%20للحفلات,https://www.google.com/maps?sca_esv=7bfb32b140944815&sca_upv=1&lqi=CkLZgtin2LnYp9iqINmC2LPZhSDYp9mE2YXZhtiq2LLZhyDZhdit2KfZgdi42Kkg2KfZhNin2LPZg9mG2K_YsdmK2YdIouH-v_-4gIAIWk4QABgAGAIYAxgEIkLZgtin2LnYp9iqINmC2LPZhSDYp9mE2YXZhtiq2LLZhyDZhdit2KfZgdi42Kkg2KfZhNin2LPZg9mG2K_YsdmK2YeSAQxiYW5xdWV0X2hhbGyqAXsQASoOIgrZgtin2LnYp9iqKDYyHxABIhvEJtfQfJfchyC_iWzAjGiYh1H40kqQgeNbomAyRhACIkLZgtin2LnYp9iqINmC2LPZhSDYp9mE2YXZhtiq2LLZhyDZhdit2KfZgdi42Kkg2KfZhNin2LPZg9mG2K_YsdmK2Yc&phdesc=k7kRFQu3TTU&vet=12ahUKEwjqluvc3N2IAxX1RaQEHX3RLjwQ8UF6BAgGEFM..i&lei=MtDzZuq1L_WLkdUP_aK74QM&cs=1&um=1&ie=UTF-8&fb=1&gl=eg&sa=X&geocode=KUN97u380fUUMVCtkHybW61k&daddr=20+%D8%A7%D9%84%D8%AC%D8%AF%D9%8A%D8%AF+%D9%85%D8%AA%D9%81%D8%B1%D8%B9+%D9%85%D9%86%D8%8C+%D8%B4%D8%A7%D8%B1%D8%B9+%D8%A7%D9%84%D9%82%D8%A7%D8%B3%D9%85%D8%8C+%D9%85%D8%AD%D8%A7%D9%81%D8%B8%D8%A9+%D8%A7%D9%84%D8%A5%D8%B3%D9%83%D9%86%D8%AF%D8%B1%D9%8A%D8%A9
قاعات قمرين,الاسكندريه,المنتزه,012 84790199,https://www.facebook.com/profile.php?id=100083725920897,,C:\Users\al arab\Desktop\Wedding halls\محافظة الاسكندريه\قسم المنتزه\قاعات قمرين,C:\Users\al%20arab\Desktop\Wedding%20halls\محافظة%20الاسكندريه\قسم%20المنتزه\قاعات%20قمرين,\محافظة%20الاسكندريه\قسم%20المنتزه\قاعات%20قمرين,CkLZgtin2LnYp9iqINmC2LPZhSDYp9mE2YXZhtiq2LLZhyDZhdit2KfZgdi42Kkg2KfZhNin2LPZg9mG2K_YsdmK2YdIk_Kw6pavgIAIWk4QABgAGAIYAxgEIkLZgtin2LnYp9iqINmC2LPZhSDYp9mE2YXZhtiq2LLZhyDZhdit2KfZgdi42Kkg2KfZhNin2LPZg9mG2K_YsdmK2YeSAQxiYW5xdWV0X2hhbGyqAXsQASoOIgrZgtin2LnYp9iqKDYyHxABIhvEJtfQfJfchyC_iWzAjGiYh1H40kqQgeNbomAyRhACIkLZgtin2LnYp9iqINmC2LPZhSDYp9mE2YXZhtiq2LLZhyDZhdit2KfZgdi42Kkg2KfZhNin2LPZg9mG2K_YsdmK2Yc
قاعه الفردوس,الاسكندريه,المنتزه,012 75674940,https://www.facebook.com/AlFerdousWeddingPlanner/?locale=ar_AR,,C:\Users\al arab\Desktop\Wedding halls\محافظة الاسكندريه\قسم المنتزه\قاعه الفردوس,C:\Users\al%20arab\Desktop\Wedding%20halls\محافظة%20الاسكندريه\قسم%20المنتزه\قاعه%20الفردوس,\محافظة%20الاسكندريه\قسم%20المنتزه\قاعه%20الفردوس,"https://www.google.com/maps/dir//7X8Q%2B573%D8%8C+%D8%B4%D8%A7%D8%B1%D8%B9+%D8%AE%D9%84%D9%8A%D9%84+%D8%AD%D9%85%D8%A7%D8%AF%D8%A9%D8%8C+%D8%B3%D9%8A%D8%AF%D9%8A+%D8%A8%D8%B4%D8%B1+%D8%A8%D8%AD%D8%B1%D9%8A%D8%8C+%D8%A7%D9%88%D9%84+%D8%A7%D9%84%D9%85%D9%86%D8%AA%D8%B2%D9%87%D8%8C+%D9%85%D8%AD%D8%A7%D9%81%D8%B8%D8%A9+%D8%A7%D9%84%D8%A5%D8%B3%D9%83%D9%86%D8%AF%D8%B1%D9%8A%D8%A9+5517260%E2%80%AD/@31.2653771,30.0582062,12z/data=!4m8!4m7!1m0!1m5!1m1!1s0x14f5dbd952c29d45:0x393957576a355472!2m2!1d29.9881407!2d31.2653661?entry=ttu&g_ep=EgoyMDI0MDkyMi4wIKXMDSoASAFQAw%3D%3D"
